,Date,title,category,account,amount,currency,type,id
884,2023-09-30 09:59:33.963,Baba,Bills & Fees,Savings Bank,500.00,INR,EXPENSE,9c51efa5-0626-44d4-82cc-2e08147e1fe8
885,2023-09-30 05:06:46.756,Snacks,Food & Drinks,Savings Bank,55.00,INR,EXPENSE,44f4d4ca-8e97-4b13-a798-2ea9ab2f4b3e
886,2023-09-29 17:31:00.000,Auto+Bus,Transport,Cash,30.00,INR,EXPENSE,67ef2a42-5539-4d8b-96d6-3bbc03044127
887,2023-09-28 17:35:00.000,Baba,Bills & Fees,Savings Bank,500.00,INR,EXPENSE,42f47d1d-175b-4c7a-9ab1-f3a41f12d45b
888,2023-09-28 13:48:55.602,Snacks,Food & Drinks,Savings Bank,70.00,INR,EXPENSE,54552def-f497-4a56-81c6-410afd754c44
890,2023-09-28 10:30:25.262,Baba,Bills & Fees,Savings Bank,"1,000.00",INR,EXPENSE,c1ec79d5-ea30-4dfd-9905-e1dda40bcfb7
891,2023-09-28 06:34:26.839,Chotu,Bills & Fees,Cash,20.00,INR,EXPENSE,d345b65d-0998-4654-a791-8b1b8e34e4b3
892,2023-09-27 06:34:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,1a029d91-ca69-4e79-986b-018c24493673
893,2023-09-27 03:14:57.910,Sid,Bills & Fees,Savings Bank,40.00,INR,EXPENSE,e96c2cf9-b558-4e52-a92f-03bf142ac615
895,2023-09-25 14:21:44.027,Snacks,Food & Drinks,Savings Bank,25.00,INR,EXPENSE,fd839a36-c81d-44c9-9c7b-acdab413ca6d
896,2023-09-25 14:21:22.409,Jalebi,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,3f797648-64e0-4c0f-8fa8-0b7e3ccbff7a
897,2023-09-25 14:21:05.606,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,82220db6-f3f7-41da-b032-df0666122292
898,2023-09-25 14:20:59.632,Bus,Transport,Cash,10.00,INR,EXPENSE,9bc31a9c-d617-47b7-8aed-3f46a5bd8475
899,2023-09-23 17:41:00.000,Recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,a687a5db-941c-4445-83dd-607f55caa731
902,2023-09-23 07:45:21.172,Auto,Transport,Cash,20.00,INR,EXPENSE,60f91f51-4369-4e37-9983-f0a32cf8966b
903,2023-09-23 07:45:13.516,Bus,Transport,Cash,10.00,INR,EXPENSE,6ea4a6c0-8437-45f5-8ffa-e2daf331858b
904,2023-09-23 07:23:40.225,Chotu,Bills & Fees,Savings Bank,50.00,INR,EXPENSE,3517dcdc-25a5-4cf2-b997-cac90b475030
905,2023-09-22 08:11:20.220,Auto,Transport,Cash,20.00,INR,EXPENSE,d1b98b83-4132-419d-b401-e4ac9ae10f26
907,2023-09-20 09:44:37.871,Auto,Transport,Cash,20.00,INR,EXPENSE,4848a5ea-2893-4fd7-9b0e-1f43a725b50d
908,2023-09-19 03:48:45.758,Prints,Bills & Fees,Savings Bank,5.00,INR,EXPENSE,def4e696-df36-4f16-9dd4-43a6751ba076
909,2023-09-19 03:48:37.082,Auto,Transport,Cash,20.00,INR,EXPENSE,5ba30e66-100b-46ad-8a15-97a848b16230
910,2023-09-19 03:48:30.961,Bus,Transport,Cash,10.00,INR,EXPENSE,e012e290-e108-4e8b-ba66-d6cc64134cf8
911,2023-09-18 13:48:03.901,Parking,Bills & Fees,Cash,25.00,INR,EXPENSE,e99b9932-99cb-47f6-8a5e-0811366920db
912,2023-09-16 07:43:22.684,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,7c0a060e-f3a4-44cd-b9dd-824ae61dac3b
913,2023-09-15 07:42:00.000,Pastry,Food & Drinks,Cash,100.00,INR,EXPENSE,cd3cc6dd-acde-4df6-b521-6cc73f7af28a
914,2023-09-15 07:28:22.793,Transport,Transport,Cash,45.00,INR,EXPENSE,5438c8ab-113f-4628-81f2-73c3bb2080dd
917,2023-09-15 07:06:00.000,Drink,Transport,Savings Bank,10.00,INR,EXPENSE,6938bd27-7796-4f4b-a1ed-23a8d77c02cb
918,2023-09-15 07:05:00.000,Snacks,Food & Drinks,Savings Bank,60.00,INR,EXPENSE,0d87bd72-5c47-4e07-9de1-d6d7812adf18
921,2023-09-14 14:55:20.289,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,c691812d-37d6-4b21-b6d3-f64ee888c742
922,2023-09-14 03:08:50.790,Sid,Bills & Fees,Savings Bank,56.00,INR,EXPENSE,ef5a7408-3e1e-4af6-895f-45b2258984d9
923,2023-09-14 03:08:38.780,Bus,Transport,Cash,10.00,INR,EXPENSE,276e3349-85c0-4ccd-9538-44f5a9093a5e
924,2023-09-13 03:09:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,2fdb0d0f-9d32-423d-b44c-b3d55d9b7998
925,2023-09-11 19:11:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,7718a09c-a594-47a0-b739-8dea92fbb46c
926,2023-09-11 04:50:42.916,Bus,Transport,Cash,10.00,INR,EXPENSE,4ddf6fe9-7d89-44ec-b0b9-205adf69f3b5
927,2023-09-11 04:50:30.609,Auto,Transport,Cash,20.00,INR,EXPENSE,86c0eaeb-2967-4bdc-ade4-8d8b002413f4
928,2023-09-10 04:50:00.000,Snacks,Food & Drinks,Savings Bank,140.00,INR,EXPENSE,ad9aebb6-4c6a-4029-a56c-0432753c55dd
929,2023-09-09 11:42:29.034,Auto,Transport,Cash,20.00,INR,EXPENSE,1081a9fa-7cc3-476c-81e9-8db15632c4ee
932,2023-09-08 09:44:49.580,Auto,Transport,Cash,20.00,INR,EXPENSE,885b7731-fc46-41ed-bb0c-a74c5efad793
933,2023-09-08 03:30:38.336,Bus,Transport,Cash,10.00,INR,EXPENSE,5a7eb41a-6f0c-4520-b2cf-37d355df5351
934,2023-09-07 16:10:20.510,Snacks,Food & Drinks,Cash,30.00,INR,EXPENSE,79c41cc5-3820-4783-a412-e180f2ef0d36
935,2023-09-06 02:53:31.674,Bus,Transport,Cash,10.00,INR,EXPENSE,ef4c710a-1aaf-4820-8b52-170d967540ef
938,2023-08-23 03:22:20.429,Bus,Transport,Cash,10.00,INR,EXPENSE,21a4dca9-ab09-475b-bfb8-6e39013d08f4
939,2023-08-22 03:55:32.936,Auto,Transport,Cash,20.00,INR,EXPENSE,fa63d868-93f0-46ad-a3b6-2cc3e78427b6
940,2023-08-21 12:24:39.732,Pass,Transport,Cash,430.00,INR,EXPENSE,116cbb27-0bc7-4d0d-98ec-f2d80e8e31f6
941,2023-08-21 11:59:41.003,Auto,Transport,Cash,20.00,INR,EXPENSE,68f696ac-d8a0-41cd-90fc-8825fc2ffea0
942,2023-08-21 11:59:31.716,Bus,Transport,Cash,30.00,INR,EXPENSE,7d33eba6-3275-4e53-ad32-e0fefadfb8fd
943,2023-08-21 11:59:25.029,Auto,Transport,Cash,20.00,INR,EXPENSE,4d8263cb-b6f3-41ef-93cd-7609271b4458
945,2023-08-18 12:21:05.023,Chotu,Bills & Fees,Cash,10.00,INR,EXPENSE,95847d24-a85f-404d-947e-2293878de723
946,2023-08-18 03:45:15.170,Auto,Transport,Cash,20.00,INR,EXPENSE,56cc91a3-3cb8-4e06-a55d-811f973bd691
948,2023-08-18 03:00:24.246,Bus,Transport,Cash,10.00,INR,EXPENSE,b830d31a-1e86-4add-b772-14e8b36b22ce
949,2023-08-17 06:27:50.681,Auto,Transport,Cash,20.00,INR,EXPENSE,62bac057-406c-4d02-87ad-44871eb52f56
950,2023-08-17 03:01:00.000,Stickers,Bills & Fees,Savings Bank,20.00,INR,EXPENSE,b922f796-634f-41ad-8dc9-3c7ed41a5c3e
951,2023-08-16 17:23:31.644,Stationary,Bills & Fees,Savings Bank,50.00,INR,EXPENSE,61e77773-9b65-4ba5-b8d2-3c1e69d686f6
952,2023-08-16 17:22:57.562,Juice,Food & Drinks,Savings Bank,40.00,INR,EXPENSE,08b24daa-7179-43c3-baea-a562dd34b951
954,2023-08-16 17:21:56.218,Samosa,Food & Drinks,Savings Bank,60.00,INR,EXPENSE,38838b43-2d1d-4c66-9276-cdf0063701f1
955,2023-08-16 03:56:23.102,Auto,Transport,Cash,20.00,INR,EXPENSE,926a4567-fd8d-414c-8c48-ec703f2f5250
956,2023-08-16 01:30:57.325,Auto,Transport,Cash,20.00,INR,EXPENSE,398ea1da-e525-45cf-a805-daa0dfa13358
957,2023-08-16 01:30:53.217,Auto,Transport,Cash,20.00,INR,EXPENSE,b854b2b1-08ce-48cf-bceb-f95960c85c10
958,2023-08-15 01:31:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,f40e7739-463f-4d2b-936e-68b6950eca81
959,2023-08-14 11:41:09.051,Bus,Transport,Cash,10.00,INR,EXPENSE,20afd925-3793-4ab3-a867-e7fb520ff3ce
960,2023-08-14 11:41:00.721,Juice,Food & Drinks,Savings Bank,15.00,INR,EXPENSE,7d6b58c4-e4dc-4509-9738-b316a8736ee4
961,2023-08-14 11:40:29.655,Auto,Transport,Cash,20.00,INR,EXPENSE,144f2c5e-3f37-4d91-9719-d4b47c562cd6
962,2023-08-12 03:04:16.418,Bus,Transport,Cash,10.00,INR,EXPENSE,7482e1e9-cf28-4fe1-b8a3-730a03f9787d
963,2023-08-11 02:23:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,f570d0d9-a068-4d54-890a-55150e453eae
965,2023-08-10 01:00:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,c0186d15-49ad-4aa8-8406-b1a1a7dfce36
966,2023-08-09 10:11:01.692,Auto,Transport,Cash,20.00,INR,EXPENSE,5b1faf1d-9b94-413a-b363-b378b65f51df
967,2023-08-08 13:26:28.313,Snacks,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,52ebe9d2-8d3f-49e1-b02d-9dd33ad0e3d8
968,2023-08-08 03:45:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,ca1bc174-e2f0-4b9a-8d83-7e774d58b043
969,2023-08-07 13:27:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,e2dc2523-d002-4a76-a331-76de254a1068
970,2023-08-05 07:31:26.364,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,9b32648e-bb30-40af-8838-7bff74dd3bf5
971,2023-08-05 07:31:12.973,Auto,Transport,Cash,40.00,INR,EXPENSE,f541a401-9e3c-4108-b39f-b99e325dfec3
972,2023-08-04 18:25:31.566,Snacks,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,8d674dde-d630-4aaa-85e0-9091487f0b19
973,2023-08-04 13:58:29.716,Bus,Transport,Cash,10.00,INR,EXPENSE,bfd65e8c-77b0-4306-8ec7-047004acfda0
974,2023-08-02 07:21:44.095,Computer stuff,Bills & Fees,Savings Bank,470.00,INR,EXPENSE,c1628623-7016-4fea-b5b0-98789cd57339
976,2023-07-31 07:19:06.638,Auto,Transport,Cash,20.00,INR,EXPENSE,99c1a430-5823-4966-8af0-c07b28213b63
977,2023-07-31 03:03:09.712,Bus,Transport,Cash,10.00,INR,EXPENSE,ba912639-cfba-4ab4-bf3b-414ccfa96143
978,2023-07-29 14:13:08.456,Shawarma,Food & Drinks,Savings Bank,120.00,INR,EXPENSE,102dcd09-e832-4e55-8677-671417de4d64
980,2023-07-28 05:58:44.561,Bus,Transport,Cash,10.00,INR,EXPENSE,e19fb581-2d37-481d-b744-bd5b9a4e68e9
981,2023-07-28 05:38:02.624,Bus,Transport,Cash,10.00,INR,EXPENSE,8287f257-b80e-44c7-87ec-f4fd70a0937a
982,2023-07-27 10:22:06.462,Bus,Transport,Cash,10.00,INR,EXPENSE,a9f7ab72-5d50-4881-84c8-91c00aa8d4ef
983,2023-07-24 16:09:23.521,Auto,Transport,Cash,20.00,INR,EXPENSE,2f9aff7b-8bc0-4614-9d6d-6184b07c03c6
985,2023-07-23 06:55:40.729,Chotu,Bills & Fees,Cash,20.00,INR,EXPENSE,8db1d994-828b-4a9f-8cd2-4179bb49bf4b
986,2023-07-22 06:01:00.000,Something,Bills & Fees,Savings Bank,5.00,INR,EXPENSE,dfa1e44d-0620-4ce4-8242-ea266430b8ed
987,2023-07-21 15:34:14.642,Recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,089f4173-a7e2-4f7c-933a-057e00445af6
989,2023-07-19 02:55:50.783,Bus,Transport,Cash,10.00,INR,EXPENSE,a240e362-f493-4df3-8a39-34adfbbe97e9
991,2023-07-18 12:50:17.986,Curd,Bills & Fees,Savings Bank,48.00,INR,EXPENSE,0c4246fe-d150-4138-a8c7-b2299ff02b28
992,2023-07-14 15:04:43.725,Auto,Transport,Cash,20.00,INR,EXPENSE,ec38a43e-49cb-4f44-b8b5-22378c8c74bd
993,2023-07-14 14:24:00.000,Snacks,Food & Drinks,Savings Bank,80.00,INR,EXPENSE,6a488a47-74c9-40cc-a6a7-83dd6ed97bc3
996,2023-07-13 18:05:21.961,🖊️,Bills & Fees,Savings Bank,10.00,INR,EXPENSE,df266437-f9d9-4a78-b890-8d347d1fab6e
997,2023-07-12 12:30:17.265,Bus,Transport,Cash,10.00,INR,EXPENSE,27d77e31-bbd0-4d6e-8468-5a0d73581213
998,2023-07-12 12:29:43.822,Juice,Food & Drinks,Cash,20.00,INR,EXPENSE,c883d05c-6c53-4729-bdb8-ecfe4da468ae
999,2023-07-12 12:29:31.596,Snacks,Food & Drinks,Savings Bank,50.00,INR,EXPENSE,ddb5295f-fb86-4c07-bc24-b2fc1c3aeb9e
1000,2023-07-12 12:29:17.648,Auto,Transport,Cash,20.00,INR,EXPENSE,d25fd475-979c-4f42-8fff-b255016c0409
1001,2023-07-10 11:56:25.016,Auto,Transport,Cash,20.00,INR,EXPENSE,2e579c11-d7a1-453c-8318-feb91dcb05f6
1002,2023-07-05 11:40:48.962,Bus,Transport,Cash,10.00,INR,EXPENSE,abff004c-4d99-4551-bac8-6e04b76a5845
1003,2023-07-05 03:13:37.014,Auto,Transport,Cash,20.00,INR,EXPENSE,7b97733d-cb97-414f-81aa-ebf099b4c360
1005,2023-07-04 02:56:22.663,Pen,Bills & Fees,Savings Bank,10.00,INR,EXPENSE,abf7ad8f-9353-4b09-899b-236d4d77ee62
1008,2023-06-12 18:05:00.000,Goje,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,d523fbfe-72f9-4b2d-89f2-001760b5a044
1009,2023-06-11 10:05:00.000,Mom,Bills & Fees,Savings Bank,"11,500.00",INR,EXPENSE,94eaf4b1-5de7-43a6-ba81-61432cdaeff4
1010,2023-06-10 10:03:00.000,Book,Bills & Fees,Savings Bank,180.00,INR,EXPENSE,02e8c1fc-f7c6-4070-a6fd-38aa6cd1b362
1013,2023-06-10 03:21:34.716,Bus,Transport,Cash,10.00,INR,EXPENSE,b0719a39-9294-49a1-b593-25178bc842c4
1014,2023-06-09 13:23:56.829,Bus,Transport,Cash,10.00,INR,EXPENSE,cbdf647e-99a6-467b-a4d8-f34f08e6fe65
1016,2023-06-09 03:44:35.554,Bus,Transport,Cash,20.00,INR,EXPENSE,688d1286-15e4-4c5e-9000-8b811ed3bd68
1018,2023-06-08 03:49:50.091,Bus,Transport,Cash,10.00,INR,EXPENSE,cd739e89-208b-466e-823d-f3fb049605b3
1019,2023-06-07 15:20:03.899,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,43810d4f-c3e8-45af-b9c3-7e0a9ed088e9
1020,2023-06-07 15:19:49.292,Exam fees,Bills & Fees,Savings Bank,800.00,INR,EXPENSE,7e80edad-0ce2-4d79-bb56-7a1de4cbc7a5
1021,2023-06-07 04:21:48.834,Auto,Transport,Cash,20.00,INR,EXPENSE,a6e6fec9-f06d-4cd6-9b81-783d922c06c6
1022,2023-06-07 04:21:35.377,Record books,Bills & Fees,Savings Bank,360.00,INR,EXPENSE,e590c487-ad68-44ef-85b9-dd256dd56620
1026,2023-06-06 04:14:57.334,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,71171976-ee8f-41e5-994e-9e3aac003379
1027,2023-06-05 13:00:00.000,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,02661093-406d-4b37-a24e-89d428735c04
1028,2023-06-05 12:30:00.000,Juice,Food & Drinks,Savings Bank,10.00,INR,EXPENSE,084785e2-78e7-4f96-a268-534e379a016f
1029,2023-06-05 12:30:00.000,Snacks,Food & Drinks,Savings Bank,25.00,INR,EXPENSE,1eac3398-5799-4102-b251-7ee015475049
1030,2023-06-05 03:16:08.866,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,403e623d-4959-4701-8fc4-fcc9d3314f9b
1032,2023-06-03 11:48:00.000,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,76bfa357-9f91-47e0-9601-a7548e83ab40
1033,2023-06-03 08:04:55.844,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,c5cf3faa-f59a-4f63-9352-403af78512bb
1034,2023-06-02 12:14:12.385,Bus,Transport,Cash,30.00,INR,EXPENSE,d30abfea-00e4-4b4b-a0df-f89af292c59c
1035,2023-06-01 12:20:58.789,Bus,Transport,Cash,10.00,INR,EXPENSE,3b148ac0-f80c-418e-87f8-cdeb0524aa5b
1036,2023-06-01 04:20:00.000,Medic,Bills & Fees,Savings Bank,53.27,INR,EXPENSE,6947bdc6-5ae5-4402-9773-44fcd77664a9
1037,2023-05-31 13:02:43.008,Bus,Transport,Cash,10.00,INR,EXPENSE,13c2d9c2-ec0b-4641-92d9-1d47d46856c5
1038,2023-05-31 04:17:20.895,Bus,Transport,Cash,20.00,INR,EXPENSE,a6108fae-4158-4f92-abc8-98d2164713e4
1039,2023-05-30 03:39:15.249,Auto,Transport,Cash,20.00,INR,EXPENSE,bf742954-8ced-4b05-8abb-f83d60a5ddc8
1041,2023-05-29 11:50:56.495,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,8bd1d50c-f2d3-4de3-be03-eb29541f0923
1042,2023-05-29 03:36:54.746,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,6621ec12-3697-4625-8d86-199f6d97ef55
1045,2023-05-28 15:13:59.660,Suit,Bills & Fees,Savings Bank,"3,499.00",INR,EXPENSE,b0d0925c-5656-4c21-908e-d858508d9742
1046,2023-05-27 04:47:59.367,Breakfast,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,2a7c16cb-d0d1-4a6e-90fb-f5b9ea1f32a6
1048,2023-05-25 11:24:27.236,Bus,Transport,Cash,10.00,INR,EXPENSE,fa34dfbc-5421-4758-af97-d62dabc91ca9
1049,2023-05-25 11:24:15.787,Bus,Transport,Cash,20.00,INR,EXPENSE,d0cec216-deae-478a-aec8-f371f1f18b43
1050,2023-05-24 10:29:10.540,Juice,Food & Drinks,Savings Bank,25.00,INR,EXPENSE,f31250fe-db77-4b4e-855e-f2495efbbd55
1051,2023-05-24 10:28:56.973,Auto,Transport,Cash,20.00,INR,EXPENSE,00a578e4-1950-4134-86d4-0ad760a0bef5
1052,2023-05-23 13:28:23.128,Auto+Bus,Transport,Cash,50.00,INR,EXPENSE,e92c947f-3e0d-475c-a6f2-47720ea174a1
1053,2023-05-23 03:57:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,146d65de-5080-4fda-ab15-9d38222e737d
1054,2023-05-23 03:00:20.601,Bus,Transport,Cash,10.00,INR,EXPENSE,efd46273-aa95-4657-9753-7de26d3134d8
1055,2023-05-23 02:26:57.406,Bus,Transport,Cash,10.00,INR,EXPENSE,c4457ff2-9d37-419a-9f40-ba6712cfb025
1056,2023-05-21 20:27:42.687,Recharge,Bills & Fees,Savings Bank,259.00,INR,EXPENSE,5db0782d-28e8-4bb3-99f4-7a248fe323ec
1058,2023-05-20 17:07:32.488,Snacks,Food & Drinks,Savings Bank,100.00,INR,EXPENSE,e80ef95c-1f37-4fa3-b05d-e9ad2201ecb3
1059,2023-05-20 08:15:26.239,Ice cream,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,ac7e505c-9fd5-4db9-a5ec-7b49027a2aa9
1062,2023-05-19 13:28:16.140,Bus pass,Transport,Cash,430.00,INR,EXPENSE,aba11ee8-1dc0-4d37-8169-bca15fab8efc
1064,2023-05-18 13:29:54.579,Ice cream,Food & Drinks,Savings Bank,75.00,INR,EXPENSE,9b405d2b-c7ad-44dc-8b73-966966de077d
1065,2023-05-18 13:29:36.443,RtA,Transport,Metro Card,35.00,INR,EXPENSE,e5d7ed44-288e-4ddf-8e7e-a5ff17dc4896
1066,2023-05-18 09:46:00.000,Snacks,Food & Drinks,Cash,30.00,INR,EXPENSE,4090715d-41c2-4a5b-b06e-ecd9d34683d9
1067,2023-05-18 09:45:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,2e63e98a-eb33-4355-9f02-e03b693f28ac
1069,2023-05-17 01:40:00.000,Bus,Transport,Cash,30.00,INR,EXPENSE,148317cb-9197-435a-90a4-a9a2a16e461a
1070,2023-05-16 15:04:00.000,Bus,Transport,Cash,20.00,INR,EXPENSE,9ab79fd3-68e1-4855-8cd6-47add0098668
1071,2023-05-16 14:01:02.385,Snacks,Food & Drinks,Cash,30.00,INR,EXPENSE,591db22a-9fa9-4abb-8216-543a3d876d26
1075,2023-05-13 14:15:00.000,Juice,Food & Drinks,Savings Bank,40.00,INR,EXPENSE,cde4ea46-edfc-4902-8576-00013dcb0ad8
1076,2023-05-13 14:15:00.000,Juice,Food & Drinks,Savings Bank,10.00,INR,EXPENSE,67aa63bc-dab4-49a0-9d1b-9c0523be6b0d
1077,2023-05-13 06:28:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,510ee07c-c3f1-4974-9531-0dce6b100f68
1078,2023-05-12 03:30:17.477,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,365c2b9a-5f4f-45de-b91a-9b13fa662633
1079,2023-05-11 03:30:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,06c55abd-d349-4795-856d-4475a8f04c6d
1080,2023-05-10 17:28:47.675,Auto,Transport,Cash,20.00,INR,EXPENSE,85df1fe0-d5db-44da-a18f-a24adf2fb815
1081,2023-05-10 17:28:31.997,Snacks,Food & Drinks,Cash,15.00,INR,EXPENSE,3e723afd-3817-4704-b916-3f64efa94a49
1082,2023-05-09 10:50:44.097,Bus: RtG,Transport,Cash,10.00,INR,EXPENSE,f6424625-0367-44cb-bb31-d27ed49d5304
1084,2023-05-09 04:11:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,d2c7f29c-11be-44af-9994-eeb2ff3d0bc1
1085,2023-05-08 18:09:26.912,Bus,Transport,Cash,10.00,INR,EXPENSE,15bf09b6-161c-47d2-a53f-18ac0d932087
1086,2023-05-08 04:40:28.771,Auto,Transport,Cash,20.00,INR,EXPENSE,0f85833e-3413-4049-9ee6-ce8bbe54fd0f
1088,2023-05-07 18:26:42.987,Snack,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,49c6486a-01ee-44fb-ba75-6c9e47a62b36
1089,2023-05-06 04:32:04.945,Bus,Transport,Cash,10.00,INR,EXPENSE,803525e1-8e8e-46df-a3ba-de246e27274c
1090,2023-05-06 04:31:50.149,Auto,Transport,Cash,20.00,INR,EXPENSE,597cc7f7-ebcd-4986-8a3b-7c9476568bdd
1093,2023-05-05 09:19:02.128,Bonda,Food & Drinks,Savings Bank,70.00,INR,EXPENSE,b8cbeef7-9fbd-4fea-b4fe-f9cce807e800
1094,2023-05-04 04:35:17.739,Auto,Transport,Cash,20.00,INR,EXPENSE,4202946d-4fa8-4a88-bee6-856f5b685792
1095,2023-05-03 18:12:04.495,RtA,Transport,Metro Card,35.00,INR,EXPENSE,bb3cb1d6-8755-480a-970a-2c7341530687
1096,2023-05-03 18:11:48.626,Bus,Transport,Cash,20.00,INR,EXPENSE,d2cf792b-106d-40bf-9514-d051f7f774eb
1097,2023-05-03 18:11:15.950,Bus,Transport,Cash,20.00,INR,EXPENSE,12e698d4-d30a-4b9d-a8de-cf26f9481d21
1099,2023-05-02 15:19:23.832,Glasses,Bills & Fees,Savings Bank,5.00,INR,EXPENSE,6e02ce68-f8c6-4716-b827-aa61e9db4efc
1100,2023-05-02 15:19:05.941,Bus,Transport,Cash,10.00,INR,EXPENSE,f0bf35f0-36d6-48e7-a22a-78adb583e51a
1101,2023-05-02 03:28:33.128,Bus,Transport,Cash,20.00,INR,EXPENSE,a33baaae-ada1-492a-a2fa-fa3a7379fe60
1103,2023-05-01 15:51:41.472,Bus,Transport,Cash,10.00,INR,EXPENSE,ac0d9f4d-114c-4178-9383-727c7e90f912
1104,2023-05-01 03:35:26.574,Bus,Transport,Cash,10.00,INR,EXPENSE,0cc64442-0ecf-47c2-9a60-752ef34b0c3b
1105,2023-04-29 20:38:00.000,Baba,Bills & Fees,Savings Bank,"1,600.00",INR,EXPENSE,6928d74d-4fe9-4bbb-a6a7-3dd9cf6167ba
1106,2023-04-29 04:36:18.911,Bus,Transport,Cash,10.00,INR,EXPENSE,b090e3ff-c3f4-48b3-993f-d39ff730a5cf
1108,2023-04-28 18:05:24.511,Bus,Transport,Cash,10.00,INR,EXPENSE,d62cc695-1580-4331-902d-ace4138ebb93
1109,2023-04-28 18:05:12.294,Bus: RtG,Transport,Cash,10.00,INR,EXPENSE,7d25fbbf-55e2-443d-9f59-e87d6dc66f21
1110,2023-04-28 18:04:53.428,AtR,Transport,Metro Card,35.00,INR,EXPENSE,14744cb0-bd26-40c6-85a6-b6f8befadc3d
1111,2023-04-28 10:25:37.433,Bus,Transport,Cash,10.00,INR,EXPENSE,ec2b564b-01a9-4cd3-9349-3dbf4ebdd013
1112,2023-04-28 10:25:25.543,Auto,Transport,Cash,20.00,INR,EXPENSE,412542ef-7abc-49e3-96a7-acc9c336e71a
1113,2023-04-28 10:25:16.491,Auto,Transport,Cash,20.00,INR,EXPENSE,bddde2e8-7934-4e58-9f6e-5e3c6b6002ae
1114,2023-04-27 13:04:44.625,Ice cream,Food & Drinks,Savings Bank,98.00,INR,EXPENSE,4891e846-f37e-40b9-9699-0f452cda8679
1115,2023-04-27 13:04:24.531,Water,Food & Drinks,Savings Bank,30.00,INR,EXPENSE,8709e97a-0c03-41c1-9f57-90b520c3aac2
1116,2023-04-27 13:03:59.049,Fried rice,Food & Drinks,Cash,80.00,INR,EXPENSE,fee66d50-81da-40d0-8a8b-11effb557105
1117,2023-04-27 13:03:46.473,Goli soda,Food & Drinks,Savings Bank,49.00,INR,EXPENSE,1e929011-cb44-4ef2-9c96-171e6a07896f
1118,2023-04-27 06:59:00.000,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,37d32d55-9bd4-45cc-ae88-5aad75f1efdd
1119,2023-04-27 06:18:43.826,Auto,Transport,Cash,20.00,INR,EXPENSE,71349845-5d13-42d9-85b5-02b4681f6141
1120,2023-04-26 16:19:30.311,RtA,Transport,Metro Card,35.00,INR,EXPENSE,84d9db59-20f4-4894-93de-8c41c4cf455a
1121,2023-04-26 13:36:29.167,Juice,Food & Drinks,Savings Bank,20.00,INR,EXPENSE,e889143e-2069-4224-a042-fd5c697d2bf9
1123,2023-04-26 06:32:33.046,Bus: RtG,Transport,Cash,10.00,INR,EXPENSE,acf79632-878d-430f-83f5-cf8ff48c2389
1124,2023-04-26 06:32:09.979,BtR,Transport,Metro Card,40.00,INR,EXPENSE,00245654-a7da-4328-9b44-82aeea9d0e84
1126,2023-04-26 04:44:42.132,Metro recharge,Bills & Fees,Savings Bank,200.00,INR,EXPENSE,c9b04294-a23e-45de-8992-cbcecff53d2b
1127,2023-04-25 15:20:23.634,RtA,Transport,Metro Card,31.50,INR,EXPENSE,a9b36b97-b4e9-4300-b3ac-28bad8c4a63c
1128,2023-04-25 15:08:52.646,Burger AM,Food & Drinks,Savings Bank,99.00,INR,EXPENSE,299b92a2-a262-4133-ba62-b3617f8e9ed2
