,Date,title,category,account,amount,currency,type,id
706,2023-12-07 11:20:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,dcee1de9-e613-4e76-ab56-b4b98780226f
708,2023-12-07 02:57:58.498,Bus,Transport,Cash,10.00,INR,EXPENSE,d86aa26b-d80b-4589-9321-6f471dbeea4f
709,2023-12-06 18:08:07.880,Bus,Transport,Cash,10.00,INR,EXPENSE,97f40cea-dfc0-4f1c-879c-83f64ae5b23c
711,2023-12-06 12:57:00.000,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,917b2e0c-b7c5-4898-82e9-cf95d7e5195c
713,2023-12-06 03:53:13.035,Auto,Transport,Cash,20.00,INR,EXPENSE,a0bd2045-5f35-4511-967e-219381209062
714,2023-12-06 03:53:07.487,Bus,Transport,Cash,10.00,INR,EXPENSE,24d3cbba-346c-49ec-a017-dc9df7c04d86
715,2023-12-05 01:49:00.000,Bus,Transport,Cash,10.00,INR,EXPENSE,90c9e9aa-ad63-4f7c-9669-3fe8f1d1cc77
716,2023-12-05 01:49:00.000,Auto,Transport,Cash,20.00,INR,EXPENSE,eb990cdf-34c5-427f-a0c6-f502dd37ccf6
717,2023-12-04 16:39:13.662,Snacks,Food & Drinks,Savings Bank,75.00,INR,EXPENSE,34f0f184-0b17-4687-8594-7e8d8838ea44
718,2023-12-04 16:36:59.062,Jalebi,Food & Drinks,Savings Bank,50.00,INR,EXPENSE,d4df7376-a3d8-4106-a6c0-74953da4fd3b
719,2023-12-04 16:36:41.801,Bus,Transport,Cash,10.00,INR,EXPENSE,0333ad03-2361-4755-baaa-76cddc71ad85
720,2023-12-04 16:36:34.724,Auto,Transport,Savings Bank,20.00,INR,EXPENSE,9b5c9e93-b048-489a-9360-83e610a4cdcf
721,2023-12-02 14:46:32.344,Bus,Transport,Cash,10.00,INR,EXPENSE,69f4b6ea-4a8e-451d-a029-3bf1648d0dc0
722,2023-12-02 14:46:23.183,RtA,Transport,Metro Card,35.00,INR,EXPENSE,149baa0f-5ff3-4cae-8ea8-7cdfbbba2690
723,2023-12-01 14:07:24.158,Bus,Transport,Cash,20.00,INR,EXPENSE,cfb4c1f4-da4c-44a7-acce-d6bc646f89e3
726,2023-12-01 06:52:48.720,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,946ba742-cc88-4dd1-95d5-0d53bb4bf601
727,2023-11-29 15:34:00.000,RtA,Transport,Metro Card,35.00,INR,EXPENSE,0459d289-e983-483c-af6b-1d528f163ac3
728,2023-11-29 15:33:00.000,AtrR,Transport,Metro Card,35.00,INR,EXPENSE,88ecfc83-404b-490c-9963-f38ee50dc1f7
729,2023-11-29 15:33:00.000,Bus,Transport,Cash,20.00,INR,EXPENSE,30854bf7-334a-42c0-9d0b-1d6b04c5abb2
730,2023-11-29 14:45:01.328,Biryani 🍚,Food & Drinks,Savings Bank,520.00,INR,EXPENSE,5ac33667-4651-4eb3-8aa5-ac9ca397dcd8
731,2023-11-29 14:44:19.650,Shawarma 🌯,Food & Drinks,Savings Bank,140.00,INR,EXPENSE,644e88bf-4972-4c7a-bba4-e778ea416246
